open,close,high,low,volume,median_prior,stdv_prior,deep_median,deep_stdv,growth,difference,buy,sell
56.263,55.2,56.68,54.99,24567.94995,55.8205,0.44371,54.75187,1.29281,-1.063,-1.099,0,1
55.218,54.485,55.579,54.048,31497.02898,55.89517,0.40414,54.9145,1.16575,-0.733,-0.715,0,1
54.56,54.6,54.739,53.912,12872.20162,55.54417,0.70691,55.00715,1.06301,0.04,0.115,0,1
54.6,54.19,54.6,53.834,19006.16124,55.05433,0.67584,55.07007,0.98806,-0.41,-0.41,0,1
54.2,53.228,54.214,53.1,10172.82343,54.60883,0.33597,55.14515,0.85613,-0.972,-0.962,0,0
53.222,52.3,53.26,50.926,32862.37742,54.22967,0.52711,55.15774,0.80937,-0.922,-0.928,0,0
52.3,53.424,53.67,51.85,26829.68829,53.62333,0.85745,55.0652,0.94852,1.124,1.124,0,0
53.424,52.436,53.445,51.867,16581.52746,53.11233,0.72461,54.968,1.05759,-0.988,-0.988,0,0
52.436,53.23,53.55,52.331,9327.904373,52.851,0.56102,54.88163,1.14279,0.794,0.794,0,0
53.23,53.03,53.428,52.86,5171.195835,52.875,0.53757,54.81524,1.21381,-0.2,-0.2,1,0
53.03,54.25,54.279,53.02,19812.57798,52.96433,0.42779,54.77543,1.25315,1.22,1.22,0,0
54.25,56.111,56.111,53.9,41018.84778,53.201,0.5909,54.75022,1.27665,1.861,1.861,0,1
56.111,54.641,57.1,54.3,61704.88264,53.9835,1.1878,54.74717,1.27177,-1.47,-1.47,0,0
54.611,54.16,55.254,53.453,37798.60573,54.73217,1.19775,54.69322,1.22305,-0.451,-0.481,0,0
54.16,54.247,55.2,53.862,29105.90101,54.98067,0.89607,54.61322,1.17333,0.087,0.087,0,1
54.113,55.009,55.532,53.924,16354.19445,54.655,0.74546,54.54863,1.15263,0.896,0.762,0,1
55.009,54.483,55.18,54.102,11635.21548,54.38333,0.35629,54.51146,1.13995,-0.526,-0.526,0,1
54.5,54.458,55.53,53.707,25573.80222,54.5035,0.41177,54.49337,1.13395,-0.042,-0.025,0,1
54.301,53.694,54.569,53.52,12812.53216,54.59533,0.35084,54.45254,1.11559,-0.607,-0.764,0,1
